mins,price,closeTime,timestamp,fetch_time,price_float
5,63344.63245348,1771922385581,2026-02-24T09:39:46.073437,2026-02-24 09:39:46,63344.63245348
5,63344.63245348,1771922385581,2026-02-24T09:39:46.684840,2026-02-24 09:39:46,63344.63245348
5,63344.6276561,1771922387651,2026-02-24T09:39:48.591992,2026-02-24 09:39:48,63344.6276561
5,63395.83338522,1771922867925,2026-02-24T09:47:48.323898,2026-02-24 09:47:48,63395.83338522
5,63395.20728468,1771922868624,2026-02-24T09:47:48.876714,2026-02-24 09:47:48,63395.20728468
5,63395.22264859,1771922870949,2026-02-24T09:47:51.223860,2026-02-24 09:47:51,63395.22264859
5,63399.20469811,1771922931209,2026-02-24T09:48:51.446507,2026-02-24 09:48:51,63399.20469811
5,63397.92221864,1771922990580,2026-02-24T09:49:50.925150,2026-02-24 09:49:50,63397.92221864
5,63386.07936812,1771923050443,2026-02-24T09:50:50.977834,2026-02-24 09:50:50,63386.07936812
5,63376.61880624,1771923110764,2026-02-24T09:51:50.975587,2026-02-24 09:51:50,63376.61880624
5,63363.55093237,1771923170220,2026-02-24T09:52:51.020495,2026-02-24 09:52:51,63363.55093237
5,63360.9741653,1771923230786,2026-02-24T09:53:50.999995,2026-02-24 09:53:51,63360.9741653
5,63363.31972281,1771923290975,2026-02-24T09:54:51.088148,2026-02-24 09:54:51,63363.31972281
5,63374.15855025,1771923350916,2026-02-24T09:55:51.160563,2026-02-24 09:55:51,63374.15855025
5,63378.30932276,1771923410932,2026-02-24T09:56:51.148428,2026-02-24 09:56:51,63378.30932276
5,63388.22054955,1771923470215,2026-02-24T09:57:51.116195,2026-02-24 09:57:51,63388.22054955
5,63400.2954964,1771923530222,2026-02-24T09:58:51.212721,2026-02-24 09:58:51,63400.2954964
5,63402.92818102,1771923590965,2026-02-24T09:59:51.247739,2026-02-24 09:59:51,63402.92818102
5,63407.18486813,1771923650915,2026-02-24T10:00:51.318635,2026-02-24 10:00:51,63407.18486813
5,63406.27536239,1771923710483,2026-02-24T10:01:51.300214,2026-02-24 10:01:51,63406.27536239
5,63398.60574565,1771923771215,2026-02-24T10:02:51.335170,2026-02-24 10:02:51,63398.60574565
5,63391.20469511,1771923830894,2026-02-24T10:03:51.300239,2026-02-24 10:03:51,63391.20469511
5,63380.58830623,1771923891208,2026-02-24T10:04:51.462017,2026-02-24 10:04:51,63380.58830623
5,63372.90317647,1771923951265,2026-02-24T10:05:51.389816,2026-02-24 10:05:51,63372.90317647
5,63364.8383848,1771924011206,2026-02-24T10:06:51.465985,2026-02-24 10:06:51,63364.8383848
5,63350.4819281,1771924071206,2026-02-24T10:07:51.468967,2026-02-24 10:07:51,63350.4819281
5,63315.16929701,1771924131290,2026-02-24T10:08:51.581010,2026-02-24 10:08:51,63315.16929701
5,63294.38959192,1771924191459,2026-02-24T10:09:51.590607,2026-02-24 10:09:51,63294.38959192
5,63274.05136638,1771924251370,2026-02-24T10:10:51.595728,2026-02-24 10:10:51,63274.05136638
5,63264.42653148,1771924311432,2026-02-24T10:11:51.614774,2026-02-24 10:11:51,63264.42653148
5,63259.52114006,1771924371261,2026-02-24T10:12:51.661201,2026-02-24 10:12:51,63259.52114006
5,63255.97975038,1771924431207,2026-02-24T10:13:51.669508,2026-02-24 10:13:51,63255.97975038
5,63255.45565177,1771924491364,2026-02-24T10:14:51.725535,2026-02-24 10:14:51,63255.45565177
5,63257.52002026,1771924551493,2026-02-24T10:15:51.717200,2026-02-24 10:15:51,63257.52002026
5,63257.10724318,1771924612139,2026-02-24T10:16:52.352525,2026-02-24 10:16:52,63257.10724318
5,63252.6540008,1771924671868,2026-02-24T10:17:52.006993,2026-02-24 10:17:52,63252.6540008
5,63248.09172796,1771924731206,2026-02-24T10:18:51.857604,2026-02-24 10:18:51,63248.09172796
5,63227.10910391,1771924791707,2026-02-24T10:19:51.842003,2026-02-24 10:19:51,63227.10910391
5,63208.98634541,1771924851359,2026-02-24T10:20:51.925558,2026-02-24 10:20:51,63208.98634541
5,63198.76524706,1771924910665,2026-02-24T10:21:50.931549,2026-02-24 10:21:50,63198.76524706
5,63191.55050606,1771924970895,2026-02-24T10:22:51.009060,2026-02-24 10:22:51,63191.55050606
5,63175.91704681,1771925030901,2026-02-24T10:23:51.178464,2026-02-24 10:23:51,63175.91704681
5,63162.67789304,1771925090529,2026-02-24T10:24:51.201759,2026-02-24 10:24:51,63162.67789304
5,63148.3804557,1771925150747,2026-02-24T10:25:51.291158,2026-02-24 10:25:51,63148.3804557
5,63136.53802175,1771925210971,2026-02-24T10:26:51.229560,2026-02-24 10:26:51,63136.53802175
5,63132.36607764,1771925271113,2026-02-24T10:27:51.263576,2026-02-24 10:27:51,63132.36607764
5,63136.22221071,1771925330904,2026-02-24T10:28:51.149493,2026-02-24 10:28:51,63136.22221071
5,63132.78726199,1771925391055,2026-02-24T10:29:51.192801,2026-02-24 10:29:51,63132.78726199
5,63134.51977311,1771925450897,2026-02-24T10:30:51.223880,2026-02-24 10:30:51,63134.51977311
5,63140.31663906,1771925511056,2026-02-24T10:31:51.218678,2026-02-24 10:31:51,63140.31663906
5,63142.46085642,1771925571114,2026-02-24T10:32:51.288990,2026-02-24 10:32:51,63142.46085642
5,63133.70106711,1771925631206,2026-02-24T10:33:51.439181,2026-02-24 10:33:51,63133.70106711
5,63132.33256644,1771925691206,2026-02-24T10:34:51.355727,2026-02-24 10:34:51,63132.33256644
5,63049.05583085,1771925751340,2026-02-24T10:35:51.505752,2026-02-24 10:35:51,63049.05583085
5,63021.11854951,1771925811254,2026-02-24T10:36:51.396194,2026-02-24 10:36:51,63021.11854951
5,63009.29237094,1771925871207,2026-02-24T10:37:51.431345,2026-02-24 10:37:51,63009.29237094
5,63004.01846965,1771925931323,2026-02-24T10:38:51.497315,2026-02-24 10:38:51,63004.01846965
5,62999.66406445,1771925991335,2026-02-24T10:39:51.696180,2026-02-24 10:39:51,62999.66406445
5,62995.66329479,1771926051207,2026-02-24T10:40:51.548986,2026-02-24 10:40:51,62995.66329479
5,63073.21293798,1771926111538,2026-02-24T10:41:51.811422,2026-02-24 10:41:51,63073.21293798
5,63105.83835474,1771926171206,2026-02-24T10:42:51.754025,2026-02-24 10:42:51,63105.83835474
5,63214.0542414,1771927082783,2026-02-24T10:58:03.071006,2026-02-24 10:58:03,63214.0542414
5,63214.06167551,1771927083290,2026-02-24T10:58:03.659329,2026-02-24 10:58:03,63214.06167551
5,63214.06163475,1771927084514,2026-02-24T10:58:05.611049,2026-02-24 10:58:05,63214.06163475
5,63230.42101147,1771927224162,2026-02-24T11:00:24.436525,2026-02-24 11:00:24,63230.42101147
5,63230.42101147,1771927224162,2026-02-24T11:00:24.482007,2026-02-24 11:00:24,63230.42101147
5,63230.67451743,1771927227348,2026-02-24T11:00:27.565196,2026-02-24 11:00:27,63230.67451743
5,63214.73729848,1771927287092,2026-02-24T11:01:27.269154,2026-02-24 11:01:27,63214.73729848
5,63211.24823981,1771927346909,2026-02-24T11:02:27.448457,2026-02-24 11:02:27,63211.24823981
5,63208.02371357,1771927407087,2026-02-24T11:03:27.965213,2026-02-24 11:03:27,63208.02371357
5,63204.40327867,1771927466267,2026-02-24T11:04:27.510971,2026-02-24 11:04:27,63204.40327867
5,63198.72393785,1771927527142,2026-02-24T11:05:27.533430,2026-02-24 11:05:27,63198.72393785
5,63190.99200132,1771927587149,2026-02-24T11:06:27.573753,2026-02-24 11:06:27,63190.99200132
5,63196.92013718,1771927647306,2026-02-24T11:07:27.638857,2026-02-24 11:07:27,63196.92013718
5,63175.47619582,1771927706645,2026-02-24T11:08:27.543886,2026-02-24 11:08:27,63175.47619582
5,63167.51531151,1771927767215,2026-02-24T11:09:27.649741,2026-02-24 11:09:27,63167.51531151
5,63166.6573977,1771927827574,2026-02-24T11:10:27.708625,2026-02-24 11:10:27,63166.6573977
5,63163.38444165,1771927887178,2026-02-24T11:11:28.268620,2026-02-24 11:11:28,63163.38444165
